Countries,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,22,0,0,0,0,27,54,31,33,0,0,0,0,0,0,0,0,29,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Lithuania,0,0,0,0,24,92,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,29,0,0,24,0,0,0,0,0,0,0,0,0,34,0,0,24,20,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,60,20,20,0,0,0,0,0,0,0,0,40,0
Luxembourg,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,31,0,0,0,0,0,0,28,0,26,0,0,0,0,0,0,28,0,48,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Macau (Special Administrative Region),0,54,58,28,0,92,28,52,0,0,52,62,0,27,0,26,0,0,27,0,25,108,54,0,33,0,90,28,24,48,56,0,52,0,29,132,0,29,0,56,24,48,0,0,0,20,120,60,60,40,40,20,0,0,20,20,20,20,80,60,20,0,0,40,20,40,0,40,60,20,40,20,40,20,0,40,0,0,0
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,20,20,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,20,0,0,0,0,60
Malawi,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,44,22,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,60,20,0,0,0,0,20,0,20,0,0,0,0,20,40,0,0,20,0,0,20,0,0,0,0,0,0,20,60,40,40,0,20,0,0,40,40
Malaysia,1254,567,1160,1260,1152,1840,1484,1274,1458,1456,2470,2325,1120,1026,896,884,1122,1936,1539,1125,1400,891,2106,2263,1452,1131,1350,1344,1296,1584,1596,1092,1794,1624,2262,2343,1156,899,1156,2604,2376,2304,2940,1920,1320,2000,2060,2740,2000,1180,1540,1460,1740,2180,1440,1060,1220,1200,2320,2520,920,1160,1440,1340,1020,1140,1780,1320,1600,1000,2000,2760,2060,1040,1340,1780,1640,1820,160
Maldives,0,27,0,84,48,92,0,52,54,56,0,62,0,27,84,26,22,0,27,0,0,0,27,0,33,0,30,0,0,24,28,52,26,0,29,0,34,29,102,0,72,48,100,20,40,0,20,60,0,0,20,40,60,60,40,40,40,0,20,0,40,20,40,60,40,40,40,120,100,20,0,40,20,0,20,20,20,0,120
Mali,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,20,0,0,0,0,0,20,40,20,20,0,20,0,20,40,0,0,20,20,0,0
Malta,0,0,29,56,24,0,0,52,27,0,0,31,32,0,0,26,22,66,0,50,0,27,0,0,0,0,0,28,24,0,56,0,0,116,29,0,0,0,0,0,48,24,20,20,20,0,0,20,0,40,20,0,40,20,60,40,0,20,60,40,20,20,20,0,20,0,0,0,0,0,20,60,0,0,0,20,40,20,60
Marshall Islands,0,0,58,0,0,0,0,0,0,0,0,0,32,0,0,0,0,22,0,0,0,27,0,0,0,0,0,0,24,0,28,0,0,0,0,0,68,0,34,28,0,0,0,0,0,20,20,0,0,0,20,0,0,20,20,20,0,0,0,0,20,0,0,20,0,0,0,20,20,20,0,0,0,20,0,0,0,0,80
Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,33,0,0,0,0,46,0,26,135,56,78,62,0,27,28,26,44,0,0,25,0,0,27,31,33,58,0,0,96,48,56,52,26,58,0,99,0,0,34,28,48,0,20,0,40,20,80,120,0,20,20,0,60,40,60,20,20,40,0,60,0,40,60,60,40,20,20,0,0,60,40,40,20,0,0,20,0,20,0
Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,108,174,224,240,115,392,104,162,196,208,93,128,81,168,208,110,198,81,225,225,189,108,155,66,116,270,224,96,96,224,78,182,174,87,198,204,116,170,280,96,96,100,160,100,180,180,240,60,140,200,200,200,240,120,260,100,160,240,200,100,20,120,240,120,160,420,180,160,80,260,500,200,60,240,360,300,320,0
"Micronesia, Federated States of",0,0,29,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,29,0,0,0,0,56,26,52,58,0,0,0,0,0,0,0,0,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,20,0,20,0,0,0,0,0,0,0,20,18320
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,20,0,0,0,0,0
Monaco,0,0,29,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,24,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,40,20,0
Mongolia,0,0,0,0,24,46,28,0,54,0,0,0,0,0,28,78,0,0,0,0,0,0,0,0,0,29,0,56,0,24,56,0,0,0,0,0,0,0,0,0,0,24,80,0,0,0,20,40,0,0,20,0,0,140,60,0,40,0,0,20,20,20,40,40,60,80,80,20,80,20,0,0,20,20,20,20,0,20,40
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,26,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,20,0,0,40,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,33,0,29,56,24,46,28,52,54,56,26,0,0,0,84,52,44,0,81,75,125,0,81,0,33,29,60,0,120,72,0,26,26,87,0,0,68,0,34,84,48,0,0,0,40,60,0,40,0,20,40,80,40,20,0,0,80,0,20,0,0,20,0,60,80,20,20,60,100,60,100,120,0,20,20,100,80,0,0
Mozambique,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,26,0,22,0,0,0,0,0,0,0,0,0,28,0,0,0,26,52,58,0,0,0,29,0,28,0,0,0,0,40,20,0,20,20,0,0,0,0,0,20,0,20,20,20,0,20,0,20,20,20,0,0,0,20,20,0,0,0,0,0,0,40,0,20
Namibia,0,0,0,0,72,115,0,52,54,0,0,0,0,27,28,26,22,110,0,50,0,0,0,0,0,29,0,56,0,24,0,78,26,29,0,0,0,0,0,56,72,96,20,20,40,0,40,0,0,20,0,60,40,20,40,0,20,20,0,20,20,0,60,60,20,40,20,40,20,0,20,20,0,0,20,20,20,120,20
Nauru,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,22,0,0,0,0,27,0,0,33,0,0,0,24,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,20,0,20,20,20,40,0,20,20,140,80,20,60,60,60,20,20,20,400
Nepal,66,54,116,224,96,23,56,26,216,140,104,62,64,0,112,260,66,22,0,0,150,243,54,31,0,29,180,168,120,0,28,52,364,203,116,66,68,29,102,196,120,48,20,60,140,200,280,140,40,100,220,280,140,40,20,40,180,220,200,60,100,60,140,320,120,80,40,80,260,420,120,120,40,120,340,280,120,40,2220
Netherlands,66,54,261,896,672,713,868,702,486,364,468,372,96,135,280,676,814,968,594,375,675,378,270,310,132,116,270,588,840,1032,980,494,676,493,348,429,170,116,340,700,960,912,920,580,620,360,360,580,260,200,340,500,900,840,660,440,540,300,340,400,180,220,200,860,720,880,880,600,860,220,300,340,200,280,440,420,1300,1040,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,1386,756,841,840,960,828,924,1066,513,1232,754,527,224,108,308,546,594,572,1350,925,675,837,486,341,198,174,270,1372,720,1464,868,494,702,493,377,825,986,232,340,532,912,912,940,620,320,620,600,580,1420,220,340,480,360,820,800,540,740,780,340,500,240,80,260,600,940,1200,1020,560,960,760,520,480,340,160,420,600,1120,1040,0
New Zealand,0,0,0,0,0,23,0,0,0,0,0,0,64,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,24,0,0,26,0,0,0,0,0,29,34,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740
Nicaragua,0,27,29,0,24,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,40,20,0,380
Niger,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,20
Nigeria,33,0,29,28,0,69,28,52,0,28,78,31,0,0,0,26,22,88,0,25,0,108,0,93,33,0,30,28,24,0,28,0,0,0,0,33,0,29,34,28,0,48,40,0,40,0,40,100,20,40,40,0,20,20,0,40,20,40,20,140,0,0,40,40,60,60,20,0,0,0,40,20,0,40,0,0,0,20,0
Niue,33,81,145,168,96,184,140,286,135,224,156,341,128,27,140,234,66,176,162,250,175,243,162,248,132,116,90,112,192,288,364,234,234,232,174,330,204,87,68,196,168,216,460,260,280,380,220,280,120,120,200,180,180,480,380,360,360,300,280,280,120,180,260,300,360,620,520,760,560,620,340,380,200,120,240,240,580,660,60
Norfolk Island,429,540,522,672,480,483,504,364,405,728,468,310,320,324,504,390,506,198,189,350,325,648,378,217,264,261,300,364,408,192,252,286,234,406,232,297,306,232,306,308,576,120,240,260,380,400,320,260,260,220,240,320,360,200,320,200,420,340,380,380,200,300,320,480,400,400,300,400,440,360,360,420,280,300,480,340,440,460,1000
Northern Mariana Islands,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Norway,0,0,58,0,96,115,84,182,54,56,130,0,0,0,28,0,44,154,216,75,0,27,27,124,0,0,60,0,120,168,140,156,0,58,58,66,0,29,34,112,120,192,120,100,160,0,40,40,40,20,40,60,120,260,180,120,60,40,20,120,60,60,80,20,140,260,140,140,80,40,40,20,20,80,0,0,160,120,780
Oman,33,27,29,56,24,46,56,0,27,112,78,124,32,27,84,26,88,22,0,25,0,27,81,31,99,29,30,84,0,48,0,26,52,29,29,66,68,0,68,56,24,24,40,40,0,20,60,40,80,40,20,60,20,80,20,20,0,80,40,80,0,80,40,0,20,100,0,0,40,80,140,140,40,20,60,0,20,40,60
Pakistan,0,81,203,0,48,69,84,78,81,56,260,155,128,189,168,52,22,44,81,0,100,135,513,124,231,174,120,112,48,24,28,78,78,29,232,132,102,203,102,56,24,120,100,100,100,60,200,160,100,140,220,20,20,40,100,120,40,80,260,160,100,40,40,40,20,60,40,80,80,240,240,120,140,220,80,80,60,20,1080
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,44,27,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,20,0,0,20,20,0,0,20,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,31,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,28,0,24,0,0,0,40,0,40,0,0,0,80,20,0,0,0,0,40,0,100,0,0,20,0,20,0,20,0,20,0,0,0,0,40,0,20,0,20,0
Papua New Guinea,198,324,145,224,168,207,168,78,297,112,234,310,320,162,308,182,286,154,432,200,150,135,189,279,165,290,330,84,288,168,308,338,364,203,290,297,136,377,340,308,576,432,540,480,440,420,460,380,340,320,580,540,660,480,520,440,600,620,560,480,480,420,520,540,500,480,640,480,460,800,500,380,480,500,620,540,560,420,960
Paraguay,0,0,0,0,0,0,56,0,27,0,0,0,0,0,0,0,0,22,27,0,0,27,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
Peru,33,27,87,56,168,138,168,156,108,112,104,124,32,27,84,182,264,154,324,125,200,216,81,124,66,145,60,56,144,240,112,130,286,87,116,66,34,116,68,168,216,192,120,220,100,60,140,80,60,60,80,100,100,260,80,160,200,160,80,160,0,20,180,160,180,200,220,160,180,40,120,60,40,100,80,260,200,140,40
Philippines,594,594,812,1176,936,782,672,260,459,700,546,2077,640,324,952,702,836,814,621,800,725,432,621,2294,1056,406,960,1232,840,864,644,572,598,928,783,3927,714,667,1054,1456,1176,1152,1200,780,740,880,1080,3340,1220,700,1780,1440,1300,1140,940,480,880,820,1240,3280,1160,860,1280,1560,1380,1340,1040,720,1060,1180,1540,4140,1340,940,1420,1940,1640,1540,60
Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,600
Poland,33,0,29,28,96,184,56,130,108,0,78,62,0,0,0,26,132,132,54,25,25,54,0,0,33,0,30,84,24,96,140,52,182,29,58,66,0,0,34,0,48,144,300,80,80,0,40,80,0,20,40,20,100,120,240,100,100,40,20,20,20,20,40,20,120,180,220,80,160,20,160,140,0,40,40,40,60,100,220
Portugal,0,0,29,56,96,138,56,156,81,0,26,0,32,54,28,78,132,66,27,125,200,27,54,0,33,0,0,28,120,120,84,52,156,0,145,33,0,0,68,28,192,168,120,140,60,100,20,20,0,0,100,40,20,140,40,80,40,0,0,80,0,20,20,120,100,180,100,60,100,140,0,60,20,20,20,120,100,200,160
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0
Qatar,0,27,58,0,48,23,0,0,108,0,0,0,64,27,112,130,22,88,0,25,75,27,27,93,33,58,60,84,24,48,56,26,104,87,29,66,102,29,0,0,0,0,0,40,60,60,60,60,60,0,40,20,20,80,40,20,80,0,80,120,20,40,60,40,0,20,20,40,20,20,80,100,40,40,20,100,0,20,0
Reunion,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,28,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Romania,0,0,29,56,48,92,140,52,108,28,52,62,32,27,56,0,66,66,54,50,25,54,27,93,0,0,0,28,48,0,140,52,26,29,0,33,0,0,0,28,24,0,120,0,20,20,60,40,20,40,20,60,60,120,40,40,0,20,0,60,20,0,0,40,100,180,80,60,40,40,20,40,20,40,40,100,80,140,100
Russia,132,81,87,140,264,575,364,234,324,140,52,155,96,27,140,130,198,308,405,175,150,81,81,310,132,0,210,196,72,408,280,104,130,29,232,132,0,87,34,112,312,408,380,260,140,160,180,160,40,140,120,160,300,280,220,380,380,40,80,240,40,40,40,140,160,480,580,220,160,80,120,280,100,180,120,140,280,380,60
Rwanda,0,0,0,0,24,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,27,0,33,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,20,0,20,0,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,40,20,20,20,0,0,20,0,20,0,0,0,0,0,0
Samoa,2607,1539,2320,2604,3240,3404,3948,3640,3456,3192,2964,4774,2912,2052,2548,3484,3278,3300,4266,3775,3400,4374,3456,4588,3267,2494,2730,2744,3072,4104,5264,4238,4810,3799,3219,4719,3026,2175,2618,3192,2976,3576,4840,4060,3580,4040,3540,4800,2900,2120,2580,3660,3940,4920,5080,4200,4600,3880,3420,4720,2900,1700,2500,3040,2840,4020,5340,4300,4680,4180,3000,5560,3560,2320,2580,3680,4080,4580,0
"Samoa, American",0,0,87,84,0,0,168,0,27,28,52,31,32,27,84,0,22,66,81,50,50,81,54,124,33,0,60,56,72,72,28,26,52,0,0,99,68,87,34,84,24,24,0,20,40,40,20,40,40,40,60,0,80,60,80,60,40,0,60,20,100,40,60,20,60,40,100,160,40,20,0,60,60,0,100,40,20,20,0
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,33,0,116,28,0,138,56,130,81,84,390,124,0,0,84,26,88,88,135,75,125,81,378,651,132,29,30,168,24,240,84,182,156,319,725,561,68,261,170,252,96,264,100,120,200,460,620,640,100,100,120,160,120,320,140,140,120,280,440,440,140,80,120,200,60,180,160,140,300,200,460,320,120,120,100,80,100,200,40
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,26,62,0,0,28,0,44,132,108,75,25,27,27,93,0,0,30,56,72,192,56,52,104,29,29,33,0,29,0,28,24,120,100,80,60,20,0,40,20,0,40,80,40,160,60,40,100,60,0,20,0,0,40,40,100,140,20,60,20,40,0,0,0,20,20,20,120,40,140
Seychelles,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,52,0,0,0,0,0,27,0,31,0,0,0,0,0,48,28,0,0,0,0,0,0,29,0,0,0,0,0,20,0,0,0,20,20,0,20,0,0,0,0,0,0,20,20,0,0,20,0,20,0,20,0,0,0,0,20,0,0,0,0,0,20,20,200
